TestCaseID,Kind,Subtype,TestGroup,DocTypeCode,DocClass,TaxCategory,TransactionFlags,ItemType,Currency,Scenario/CondFields,SeedXML,InstanceXML,Mutation/Build,PredictedOutcome,ExpectedRuleID,RuleLayer,BusinessTerms,RuleMessage,RejectSource,ActualOutcome,FiredRuleIDs,Status,SourceRef,Notes
EX:Buyer-PAS-identifier,Positive,vendor-example,Party/Identifier,380,Tax Invoice,S,Standard,n/a,AED,Vendor example — Buyer PAS identifier (380/S); native valid PINT-AE instance.,pint-invoice/Buyer-PAS-identifier.xml,catalog_xml/EX_Buyer-PAS-identifier.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Commercial invoice,Positive,vendor-example,Tax-Category,480,Commercial Invoice,O,Standard,n/a,AED,Vendor example — Commercial invoice (480/O); native valid PINT-AE instance.,pint-invoice/Commercial invoice.xml,catalog_xml/EX_Commercial_invoice.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Continuous.supplies,Positive,vendor-example,Transaction-Flag,380,Tax Invoice,S+E,Continuous,G,AED,Vendor example — Continuous supplies (380/S); native valid PINT-AE instance.,pint-invoice/Continuous.supplies.xml,catalog_xml/EX_Continuous.supplies.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Deemed.supply.-.predefined.endpoint,Positive,vendor-example,Transaction-Flag,380,Tax Invoice,S,Deemed,G,AED,Vendor example — Deemed supply   predefined endpoint (380/S); native valid PINT-AE instance.,pint-invoice/Deemed.supply.-.predefined.endpoint.xml,catalog_xml/EX_Deemed.supply.-.predefined.endpoint.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Disclosed.agent.billing,Positive,vendor-example,Transaction-Flag,380,Tax Invoice,S,Agent,G,AED,Vendor example — Disclosed agent billing (380/S); native valid PINT-AE instance.,pint-invoice/Disclosed.agent.billing.xml,catalog_xml/EX_Disclosed.agent.billing.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Doc-level-allowance-AE-category,Positive,vendor-example,Allowance-Charge,380,Tax Invoice,AE,Standard,n/a,AED,Vendor example — Doc level allowance AE category (380/AE); native valid PINT-AE instance.,pint-invoice/Doc-level-allowance-AE-category.xml,catalog_xml/EX_Doc-level-allowance-AE-category.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Doc-level-allowance-E-category,Positive,vendor-example,Allowance-Charge,480,Commercial Invoice,E,Standard,n/a,AED,Vendor example — Doc level allowance E category (480/E); native valid PINT-AE instance.,pint-invoice/Doc-level-allowance-E-category.xml,catalog_xml/EX_Doc-level-allowance-E-category.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Doc-level-allowance-O-category,Positive,vendor-example,Allowance-Charge,480,Commercial Invoice,O,Standard,n/a,AED,Vendor example — Doc level allowance O category (480/O); native valid PINT-AE instance.,pint-invoice/Doc-level-allowance-O-category.xml,catalog_xml/EX_Doc-level-allowance-O-category.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Doc-level-allowance-Z-category,Positive,vendor-example,Allowance-Charge,380,Tax Invoice,Z,Standard,n/a,AED,Vendor example — Doc level allowance Z category (380/Z); native valid PINT-AE instance.,pint-invoice/Doc-level-allowance-Z-category.xml,catalog_xml/EX_Doc-level-allowance-Z-category.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Doc-level-charge-AE-category,Positive,vendor-example,Tax-Category,380,Tax Invoice,AE,Standard,n/a,AED,Vendor example — Doc level charge AE category (380/AE); native valid PINT-AE instance.,pint-invoice/Doc-level-charge-AE-category.xml,catalog_xml/EX_Doc-level-charge-AE-category.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Doc-level-charge-E-category,Positive,vendor-example,Tax-Category,480,Commercial Invoice,E,Standard,n/a,AED,Vendor example — Doc level charge E category (480/E); native valid PINT-AE instance.,pint-invoice/Doc-level-charge-E-category.xml,catalog_xml/EX_Doc-level-charge-E-category.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Doc-level-charge-O-category,Positive,vendor-example,Tax-Category,480,Commercial Invoice,O,Standard,n/a,AED,Vendor example — Doc level charge O category (480/O); native valid PINT-AE instance.,pint-invoice/Doc-level-charge-O-category.xml,catalog_xml/EX_Doc-level-charge-O-category.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Doc-level-charge-Z-category,Positive,vendor-example,Tax-Category,380,Tax Invoice,Z,Standard,n/a,AED,Vendor example — Doc level charge Z category (380/Z); native valid PINT-AE instance.,pint-invoice/Doc-level-charge-Z-category.xml,catalog_xml/EX_Doc-level-charge-Z-category.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Exports.-.predefined.endpoint,Positive,vendor-example,Transaction-Flag,380,Tax Invoice,Z,Exports,G,USD,Vendor example — Exports   predefined endpoint (380/Z); native valid PINT-AE instance.,pint-invoice/Exports.-.predefined.endpoint.xml,catalog_xml/EX_Exports.-.predefined.endpoint.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Exports,Positive,vendor-example,Transaction-Flag,380,Tax Invoice,Z,Exports,G,USD,Vendor example — Exports (380/Z); native valid PINT-AE instance.,pint-invoice/Exports.xml,catalog_xml/EX_Exports.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Margin scheme,Positive,vendor-example,Transaction-Flag,380,Tax Invoice,N,Margin,n/a,AED,Vendor example — Margin scheme (380/N); native valid PINT-AE instance.,pint-invoice/Margin scheme.xml,catalog_xml/EX_Margin_scheme.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
EX:Seller-PAS-identifier,Positive,vendor-example,Party/Identifier,380,Tax Invoice,S,Standard,n/a,AED,Vendor example — Seller PAS identifier (380/S); native valid PINT-AE instance.,pint-invoice/Seller-PAS-identifier.xml,catalog_xml/EX_Seller-PAS-identifier.xml,,VALID,,,,,,PASS,,VERIFIED,example set,
